sample_id,scenario,source_index,target_index,distance_T0,point_to_plane_residual,normal_dot_abs,fpfh_distance,log_normalized_density_ratio,is_mutual_nn,label_distance,target_weight
boxes_cylinder_static_noise_medium_2,static_noise,0,1786,0.06785808000339648,0.06492466645505046,0.996590162330923,55.025319283943645,0.2962655383656569,0,0.04093674104373691,1
boxes_cylinder_static_noise_medium_2,static_noise,1,2815,0.0252582809020444,0.023615406347373098,0.9621407980241022,64.8562842135195,-0.019587117203889573,1,0.06642919124132682,1
boxes_cylinder_static_noise_medium_2,static_noise,3,32,0.04387155329545546,0.04048478729094562,0.9979783258128533,32.52117967930966,-0.10919916696513533,0,0.0740922119919179,1
boxes_cylinder_static_noise_medium_2,static_noise,4,3033,0.023990676405022813,0.022371658229994502,0.9159447648456935,50.192225277066065,-0.20157244131816385,1,0.05305306084240541,1
boxes_cylinder_static_noise_medium_2,static_noise,7,2068,0.059899201717627325,0.05230472728986579,0.9914691592968475,42.85101015404382,-0.06474745034287126,1,0.023675018277930348,1
boxes_cylinder_static_noise_medium_2,static_noise,9,542,0.03512469035500811,0.02325062835986722,0.997558582393857,49.71428694407916,-0.07283157504286702,1,0.10888356873929503,0
boxes_cylinder_static_noise_medium_2,static_noise,13,3101,0.03975474718181073,0.0357904133827743,0.9993074101894883,49.753183438266525,-0.07145888990814764,1,0.07128955812426459,1
boxes_cylinder_static_noise_medium_2,static_noise,16,1802,0.04156397293232211,0.0024717588979083615,0.4247717429393353,41.71850973245556,0.4214286610581767,0,0.07412838760864444,1
boxes_cylinder_static_noise_medium_2,static_noise,18,2439,0.04939515356728371,0.04588011575162967,0.8567980876160799,37.13070572378998,0.12847228345813932,0,0.057209955416956455,1
boxes_cylinder_static_noise_medium_2,static_noise,22,1850,0.08656381137197718,0.08512879919014876,0.621550588909073,70.61501817562716,-0.22426847965018767,0,0.08818524881389468,0
