epoch,train_loss,val_loss
1,0.8550244964481565,0.7981043851359622
2,0.8288967219277084,0.8004557142455575
3,0.821947062352996,0.7882548310510924
4,0.8184247970944749,0.798107698260541
5,0.8158617857404267,0.7948436528803354
6,0.8135188409658431,0.7973769853711926
7,0.8125175852038858,0.7964379508970891
8,0.8116014284837232,0.793075738023403
9,0.8113066213191854,0.7930990930701515
10,0.809887778291903,0.7919585797362219
11,0.8090768750474665,0.7871717173890417
12,0.8088857792767337,0.7866282628243229
13,0.808605129664087,0.7889004551582387
14,0.8090308893540584,0.7901257823908345
15,0.8082104845833236,0.7897272619058489
16,0.8082878149648992,0.791689140410468
17,0.8078580665867929,0.7969305176971109
18,0.8075208756657076,0.7916645199419504
19,0.8074135803100202,0.7962627813040491
20,0.8068639547942129,0.7805805974696056
21,0.8073963437189516,0.7902531647777941
22,0.8059146855126634,0.7889041441032686
23,0.8064806490024242,0.789321809089487
24,0.805956289523036,0.7852002316051059
25,0.805727902238186,0.7822650439608368
26,0.8055427899371657,0.7838437814948709
27,0.8055312182837876,0.7881166429085584
28,0.8049140539973848,0.7895988032840182
29,0.8048604244104705,0.7957237905447423
30,0.8051732126016113,0.7835324170439438
31,0.8046932394474564,0.78582363730294
32,0.8037641208925667,0.7806723222355926
33,0.8051202064288077,0.7877240354915859
34,0.8042518032638671,0.7912596075569929
35,0.8043699802730249,0.7898277678642885
